,location,title,company,salary
0,"Houston, TX 77002 (Downtown area)",Sr Staff Data Scientist,General Electric,No Salary Listed
1,"Houston, TX 77042 (West Houston area)",Senior Oil & Gas Analytics Consultant,Tessella,No Salary Listed
2,"Houston, TX 77002 (Downtown area)",Senior Data Scientist,General Electric,No Salary Listed
3,"Houston, TX",No Job Title Listed,Valic,No Salary Listed
4,"Houston, TX",No Job Title Listed,AIG,No Salary Listed
5,"Houston, TX",Data Scientist,Engage Partners,$120 an hour
6,"Phoenix, AZ",Lead Data Scientist,Honeywell,No Salary Listed
7,"Phoenix, AZ","Sr. Manager, Predictive Analytics",Honeywell,No Salary Listed
8,"Phoenix, AZ",Sr Data Engineer,Honeywell,No Salary Listed
9,"Phoenix, AZ 85016 (Camelback East area)","Accenture Insights Platform Product Manager, Southwest US Re...",Accenture,No Salary Listed
10,"Phoenix, AZ",Data Architect,Career Evolutions,"$150,000 a year"
11,"Chicago, IL",Data Scientist,Optiver,No Salary Listed
12,"Chicago, IL",Data Scientist - Vista Intelligence Group,No Company Listed,No Salary Listed
13,"Chicago, IL 60606 (Loop area)",Senior Quantitative Analyst,William Blair & Company,No Salary Listed
14,"Chicago, IL 60601 (Loop area)",Data Scientist / Quantitative Analyst,S&P GLOBAL MARKET INTELLIGENCE,No Salary Listed
15,"Chicago, IL",Quantitative Research Analyst,Huxley Associates,"$150,000 a year"
16,"Chicago, IL",Principal Data Scientist,Jobspring Partners,"$120,000 - $160,000 a year"
17,"Chicago, IL 60654 (Loop area)",Senior Data Scientist,Groupon,No Salary Listed
18,"Chicago, IL","Solution Manager - City Voices, McKinsey Solutions",McKinsey & Company,No Salary Listed
19,"Chicago, IL 60604 (Loop area)",Machine Learning Data Scientist,No Company Listed,No Salary Listed
20,"Chicago, IL 60604 (Loop area)",Machine Learning Data Scientist,No Company Listed,No Salary Listed
21,"Chicago, IL 60606 (Loop area)",Senior Quantitative Analyst - Quantitative Investment Manage...,William Blair & Company,No Salary Listed
22,"Chicago, IL",Senior Quantitative Analyst- Asset Allocation,Huxley Associates,"$185,000 a year"
23,"Chicago, IL","Principal, Machine Learning",Cars.com,No Salary Listed
24,"Chicago, IL",Lead Data Architect,No Company Listed,No Salary Listed
25,"Chicago, IL",Principal Data Lead (Machine Learning),Jobspring Partners,"$140,000 - $180,000 a year"
26,"Chicago, IL 60601 (Loop area)",No Job Title Listed,General Electric,No Salary Listed
27,"Chicago, IL",Chief Technology Officer,No Company Listed,No Salary Listed
28,"Chicago, IL",Lead Data Scientist,No Company Listed,"$250,000 a year"
29,"Chicago, IL",Lead Data Engineer,No Company Listed,No Salary Listed
30,"Chicago, IL",Principal Machine Learning Engineer,Jobspring Partners,"$130,000 - $160,000 a year"
31,"Chicago, IL 60601 (Loop area)",Sr Staff Software Engineer,General Electric,No Salary Listed
32,"Chicago, IL 60661 (Near West Side area)",Sr. Analytic Developer,TransUnion,No Salary Listed
33,"Chicago, IL",Managing Solution Architect - Business Analytics Solution Ar...,Capgemini,No Salary Listed
34,"Chicago, IL","Technical Architect - Cloud Control Tower, McKinsey Solution...",McKinsey & Company,No Salary Listed
35,"Chicago, IL",Chief Credit Officer,No Company Listed,No Salary Listed
36,"Chicago, IL 60601 (Loop area)",Staff Software Engineer,General Electric,No Salary Listed
37,"Chicago, IL",Insurance (Life and P&C) Analytics Senior Manager,Accenture,No Salary Listed
38,"Chicago, IL",Accenture Analytics- Big Data Sales Engineer Senior Manager,Accenture,No Salary Listed
39,"Chicago, IL",Senior Engineer - Site Reliability,No Company Listed,No Salary Listed
40,"Chicago, IL",Head of Machine Learning Big Data,No Company Listed,No Salary Listed
41,"Chicago, IL",Accenture Analytics-Life Science Sales Lead Senior Manager,Accenture,No Salary Listed
42,"Chicago, IL",Analytics Go to Market Resources Industries Lead,Accenture,No Salary Listed
43,"Chicago, IL","Data Scientist II (Python, R, AWS)",Workbridge Associates,"$125,000 - $165,000 a year"
44,"Chicago, IL 60603 (Loop area)","Senior Data Scientist II (Python, R, TensorFlow)",Workbridge Associates,"$170,000 a year"
45,"Chicago, IL 60603 (Loop area)",Machine Learning Engineer,Jobspring Partners,"$150,000 a year"
46,"Hillside, IL 60162",Data Scientist,Jobspring Partners,"$140,000 a year"
47,"Chicago, IL 60603 (Loop area)",Quantitative Developer- Data Analysis Team,Akuna Capital,No Salary Listed
48,"Chicago, IL 60603 (Loop area)",Lead Data Scientist,Jobspring Partners,"$150,000 a year"
49,"Chicago, IL",Quantitative Statistical Modeler-Automated Trading Strategie...,Analytic Recruiting,No Salary Listed
50,"Chicago, IL","Deep Learning/Neural Networking Expert (Python, TensorFlow,...",Workbridge Associates,$75 an hour
51,"San Francisco, CA",Data Scientist,The Climate Corporation,No Salary Listed
52,"San Francisco, CA",Senior Data Scientist,Capital One,No Salary Listed
53,"San Francisco, CA",Senior Data Scientist,No Company Listed,No Salary Listed
54,"San Francisco, CA","Senior Software Engineer, Data Scientist",IBM,No Salary Listed
55,"San Francisco, CA 94102 (Downtown area)",Quantitative Research Data Scientist,Thomson Reuters,No Salary Listed
56,"San Francisco, CA 94103 (South Of Market area)",Head of Data Science,No Company Listed,No Salary Listed
57,"Redwood City, CA 94065",Research Data Scientist,Electronic Arts,No Salary Listed
58,"San Mateo, CA",Data Scientist,Change Healthcare,No Salary Listed
59,"San Francisco, CA",Senior Data Scientist,HotelTonight,No Salary Listed
60,"San Francisco, CA",Data Scientist (E-Commerce),Workbridge Associates,"$130,000 - $160,000 a year"
61,"San Francisco, CA",Machine Learning Data Engineer,Capital One,No Salary Listed
62,"San Francisco, CA 94105 (Financial District area)",Principal Data Scientist,Lending Club,No Salary Listed
63,"San Francisco, CA","Data Scientist, Platform Analytics",Gap Inc. Corporate,No Salary Listed
64,"Brisbane, CA",Data Scientist (Machine Learning),No Company Listed,"$110,000 - $180,000 a year"
65,"San Francisco, CA 94126 (Financial District area)",Data Scientist,No Company Listed,No Salary Listed
66,"San Francisco, CA 94104 (Financial District area)","Software Engineer, Data Science Tools",Cloudera,No Salary Listed
67,"San Francisco, CA",Data Scientist- Digital,Capital One,No Salary Listed
68,"San Francisco, CA",Lead Data Scientist,Robert Walters,No Salary Listed
69,"San Francisco, CA",Senior Data Scientist,Hired,No Salary Listed
70,"San Francisco, CA","Director, Data Science",ZestFinance,No Salary Listed
71,"San Francisco, CA",Big Data Engineer,NinthDecimal,No Salary Listed
72,"San Francisco, CA 94103 (South Of Market area)",Head of Risk Engineering,Square,No Salary Listed
73,"San Francisco, CA",Senior Data Scientist,No Company Listed,"$180,000 a year"
74,"San Mateo, CA","Data Scientist Manager, eCommerce",No Company Listed,No Salary Listed
75,"San Francisco, CA","Director, Platform Analytics",Gap Inc. Corporate,No Salary Listed
76,"San Francisco, CA",Data Science Team Lead: Weather Science Statistics,The Climate Corporation,No Salary Listed
77,"San Francisco, CA","Senior Manager, Data Science",Autodesk,No Salary Listed
78,"San Francisco, CA 94103 (South Of Market area)",Data Engineer,No Company Listed,No Salary Listed
79,"Redwood City, CA","SVP or VP, Data & Analytics",Oportun,No Salary Listed
80,"San Francisco, CA","Senior Manager, Data Science",Autodesk,No Salary Listed
81,"San Mateo, CA",Machine Learning Algorithm Engineer,No Company Listed,"$120,000 - $180,000 a year"
82,"San Francisco, CA 94108 (Financial District area)",Machine Learning Data Scientist FinTech,No Company Listed,"$130,000 - $160,000 a year"
83,"San Francisco, CA",Software Engineer - Data,No Company Listed,No Salary Listed
84,"San Francisco, CA","Director, Data Science and Analytics",No Company Listed,No Salary Listed
85,"San Mateo, CA",Lead Data Scientist,No Company Listed,"$130,000 - $160,000 a year"
86,"San Francisco, CA","Director, Data Platforms",Ancestry,No Salary Listed
87,"Berkeley, CA 94702",Sr Data Scientist,General Electric,No Salary Listed
88,"San Mateo, CA 94402 (Beresford area)",Data Scientist - Lead Data Scientist,Freedom Financial Network,No Salary Listed
89,"Redwood City, CA",Senior Manager of Data Science,Oportun,No Salary Listed
90,"Mill Valley, CA 94941","Manager, Decision Science",Glassdoor,No Salary Listed
91,"San Francisco, CA",Principal Machine Learning Engineer - AI Platform,No Company Listed,No Salary Listed
92,"San Francisco, CA",Vice President Data Science & Machine Learning,Ancestry,No Salary Listed
93,"Brisbane, CA",Data Scientist (Natural Language Processing),No Company Listed,"$110,000 - $180,000 a year"
94,"South San Francisco, CA",Senior Safety Science Leader,Genentech,No Salary Listed
95,"San Francisco, CA",Director of Data Science,No Company Listed,"$230,000 a year"
96,"Redwood City, CA",Senior Data Scientist - Security Experience is Huge,No Company Listed,"$170,000 a year"
97,"San Francisco, CA",Software Engineer - Machine Learning,No Company Listed,No Salary Listed
98,"South San Francisco, CA",Senior Safety Science Leader (MD),Genentech,No Salary Listed
99,"South San Francisco, CA","Director, Late Stage Pharmaceutical Development",Genentech,No Salary Listed
100,"San Francisco, CA","Senior Product Leader, Client",Hired,No Salary Listed
101,"San Francisco, CA","Senior Product Leader, Matching",Hired,No Salary Listed
102,"Hayward, CA",Chief Data Scientist,DuPont,No Salary Listed
103,"San Francisco, CA","Principal Engineer, Backend",No Company Listed,No Salary Listed
104,"San Francisco, CA",Product Manager - Compute System,Salesforce,No Salary Listed
105,"San Francisco, CA",Product Manager- Data Science,Radius,No Salary Listed
106,"San Francisco, CA",Senior Machine Learning Data Engineer,Capital One,No Salary Listed
107,"San Francisco, CA 94126 (Financial District area)",Lead Software Engineer - Machine Learning,No Company Listed,No Salary Listed
108,"San Francisco, CA","Senior Growth Analyst, Strategy and Growth",Salesforce,No Salary Listed
109,"Redwood City, CA",Senior Data Scientist - Security Experience is Huge,No Company Listed,"$170,000 a year"
110,"Hayward, CA",Chief Data Scientist,DuPont,No Salary Listed
111,"San Francisco, CA",Data Engineer - Machine Learning,No Company Listed,No Salary Listed
112,"San Francisco, CA","Director, Personalization and Recommendations",,No Salary Listed
113,"San Francisco, CA",Lead Data Scientist - Engagement & Growth,No Company Listed,"$220,000 a year"
114,"San Francisco, CA",Senior Machine Learning Data Engineer,Capital One,No Salary Listed
115,"San Francisco, CA",Senior Research Engineer (Machine Learning),Workbridge Associates,"$130,000 - $170,000 a year"
116,"San Francisco, CA","Director, Personalization and Recommendations",,No Salary Listed
117,"San Francisco, CA",Senior R Programmer - Financial Data Science Platform Team:...,Bloomberg,No Salary Listed
118,"Redwood City, CA",Senior Sales Solutions Consultant,No Company Listed,No Salary Listed
119,"San Francisco, CA",Head of Data Science,No Company Listed,"$225,000 a year"
120,"San Francisco, CA",Product Manager (Customer Intelligence/Data Science),Salesforce,No Salary Listed
121,"San Francisco, CA",Senior Technical Program Manager,The Climate Corporation,No Salary Listed
122,"San Mateo, CA 94403 (Sugerloaf area)",Enablement Engineer,No Company Listed,No Salary Listed
123,"San Francisco, CA",Principal Engineer,No Company Listed,No Salary Listed
124,"Redwood City, CA",Chief of Staff,No Company Listed,No Salary Listed
125,"San Francisco, CA","AI / Machine Learning Researcher, Financial Services",No Company Listed,No Salary Listed
126,"Berkeley, CA 94705",Sr Data Scientist/Solution Architect,No Company Listed,"$250,000 a year"
127,"Foster City, CA 94404",Machine Learning Engineer,No Company Listed,No Salary Listed
128,"San Francisco, CA",Senior Software Engineer - Full Stack (Analytics),No Company Listed,No Salary Listed
129,"San Francisco, CA 94104 (Financial District area)","Senior Software Engineer, Full Stack (Analytics)",Pocket Gems,No Salary Listed
130,"San Francisco, CA",Technology Lead - US,No Company Listed,No Salary Listed
131,"San Francisco, CA 94102 (Downtown area)",Staff Software Engineer - Predix,General Electric,No Salary Listed
132,"San Mateo, CA",Director of Data Science,No Company Listed,No Salary Listed
133,"San Francisco, CA 94103 (South Of Market area)",Head of Credit - Xchange Leasing,Uber,No Salary Listed
134,"South San Francisco, CA",No Job Title Listed,AbbVie,No Salary Listed
135,"Belmont, CA",Tech Lead (Architecture path),No Company Listed,No Salary Listed
136,"San Francisco, CA 94103 (South Of Market area)","Senior Software Engineer, Publisher",Quantcast,No Salary Listed
137,"Berkeley, CA 94705",Sr Data Scientist/Solution Architect,No Company Listed,"$250,000 a year"
138,"Foster City, CA 94404",Machine Learning Engineer,No Company Listed,No Salary Listed
139,"San Francisco, CA",Senior Data Science Manager,No Company Listed,"$185,000 a year"
140,"San Francisco, CA",Devops Engineer with Ruby on Rails,No Company Listed,"$175,000 a year"
141,"San Francisco, CA",BI Analytics Director,GSPANN Technologies,No Salary Listed
142,"San Francisco, CA",Principal Data Scientist,Salesforce,No Salary Listed
143,"San Francisco, CA",Lead Data Scientist (Life Sciences Opportunity),Workbridge Associates,"$140,000 - $160,000 a year"
144,"San Mateo, CA 94402 (Beresford area)",Director Product Management -(Big) Data product experience r...,No Company Listed,No Salary Listed
145,"San Francisco, CA 94102 (Downtown area)",Principal Software Engineer,Thomson Reuters,No Salary Listed
146,"San Francisco, CA",Senior Software Engineer - Data Infrastructure,No Company Listed,No Salary Listed
147,"Redwood City, CA",Principal Product Manager,No Company Listed,No Salary Listed
148,"San Mateo, CA",Director of Data Engineering,Robert Walters,No Salary Listed
149,"San Francisco, CA 94158 (South Of Market area)","Associate Director, Translational Development / Program Lead...",Celgene Corporation,No Salary Listed
150,"San Francisco, CA","Director or Associate Director, Biostatistics",No Company Listed,No Salary Listed
151,"San Francisco, CA",Senior Technical Program Manager,No Company Listed,No Salary Listed
152,"San Mateo, CA",Architect,No Company Listed,No Salary Listed
153,"San Bruno, CA 94066","Senior Product Manager, Cross-Border eCommerce - Internation...",Walmart eCommerce,No Salary Listed
154,"San Francisco, CA",Senior Data Scientist,Salesforce,No Salary Listed
155,"Redwood City, CA 94065",Mobile App Developer/Architect,AstraZeneca,No Salary Listed
156,"San Francisco, CA","Director, Data Scientist",Dropbox,No Salary Listed
157,"San Francisco, CA",Head of Machine Learning Big Data,No Company Listed,No Salary Listed
158,"San Francisco, CA",DevOps Engineer,No Company Listed,No Salary Listed
159,"San Francisco, CA",Data Monitoring and Management Group Lead (Director),"Pfizer, Inc.",No Salary Listed
160,"San Francisco, CA",Senior Data Scientist,Salesforce,No Salary Listed
161,"San Francisco, CA","Director, Data Scientist",Dropbox,No Salary Listed
162,"San Mateo, CA",Platform Integration Product Manager,No Company Listed,No Salary Listed
163,"South San Francisco, CA",Medical Director,AbbVie,No Salary Listed
164,"San Mateo, CA","Senior Product Manager, Platform",No Company Listed,No Salary Listed
165,"San Francisco, CA 94105 (Financial District area)",Analytics Go to Market Resources Industries Lead,Accenture,No Salary Listed
166,"Redwood City, CA","Medical Director, Clinical Oncology",AbbVie,No Salary Listed
167,"South San Francisco, CA","Associate Director, Real World Data Science, Product Develop...",Genentech,No Salary Listed
168,"San Francisco, CA 94103 (South Of Market area)",Data Scientist - Ads Marketplace,No Company Listed,No Salary Listed
169,"San Mateo, CA",Director of Product Marketing,No Company Listed,No Salary Listed
170,"San Francisco, CA",DATA SCIENTIST-OPTIMIZATION/AI,No Company Listed,No Salary Listed
171,"San Francisco, CA 94105 (Financial District area)",Data Scientist (Python),Workbridge Associates,"$170,000 a year"
172,"San Francisco, CA 94105 (Financial District area)",Data Scientist (Java or Python),Workbridge Associates,"$200,000 a year"
173,"San Francisco, CA",Senior Safety Scientist,No Company Listed,"$225,000 a year"
174,"San Francisco, CA 94107 (South Of Market area)",Research Analyst,InMobi,No Salary Listed
175,"Redwood City, CA","Senior Scientist III, Pre-Clinical Safety",No Company Listed,"$140,000 a year"
176,"San Francisco, CA","SENIOR TECHNICAL PRODUCT MANAGER, SENIOR TECHNICAL PRODUCT M...",No Company Listed,No Salary Listed
177,"San Francisco, CA",Director of Data,No Company Listed,No Salary Listed
178,"San Francisco, CA 94105 (Financial District area)",Senior Data Scientist (Python),Workbridge Associates,"$170,000 a year"
179,"San Mateo, CA",Senior Data Scientist (Contract),Workbridge Associates,$130 an hour
180,"San Francisco, CA",Senior Data Scientist,No Company Listed,No Salary Listed
181,"Burlingame, CA",Head of Data Science,No Company Listed,No Salary Listed
182,"San Francisco, CA",Data Scientist - Deep Learning,No Company Listed,No Salary Listed
183,"San Francisco, CA",Head of Data Science,Vungle,No Salary Listed
184,"San Carlos, CA",Data Scientist (Contract),Jobspring Partners,$85 an hour
185,"San Francisco, CA 94105 (Financial District area)",Director of Data Science,FireEye,No Salary Listed
186,"San Mateo, CA 94402 (Beresford area)",Machine Learning Engineer,No Company Listed,No Salary Listed
187,"San Francisco, CA","Director of Data Science, Analytics",No Company Listed,"$175,000 - $250,000 a year"
188,"San Francisco, CA",Safety Scientists,No Company Listed,"$140,000 a year"
189,"San Francisco, CA 94105 (Financial District area)","Senior Software Engineer, Data Science",Marin Software,No Salary Listed
190,"San Francisco, CA",Senior Technical Program Manager,Unity Technologies,No Salary Listed
191,"San Francisco, CA 94103 (South Of Market area)",Big Data Infrastructure Engineer,"Renaissance Learning, Inc.",No Salary Listed
192,"San Francisco, CA",Sr Data Scientist,No Company Listed,No Salary Listed
193,"San Francisco, CA",Senior Data Engineer,No Company Listed,No Salary Listed
194,"San Francisco Bay Area, CA",Senior Data Architect,No Company Listed,No Salary Listed
195,"San Mateo, CA",Director of Analytics,No Company Listed,No Salary Listed
196,"Redwood City, CA",Director of Data Science & Analytics,Poshmark,No Salary Listed
197,"San Francisco, CA",Senior Product Manager (Personalization) - PlayStation Netwo...,No Company Listed,No Salary Listed
198,"Redwood City, CA",Mid-Level NLP Data Scientist,Workbridge Associates,"$175,000 a year"
199,"Emeryville, CA 94608","Director, Data Science",No Company Listed,No Salary Listed
200,"San Francisco, CA 94105 (Financial District area)",Java Engineer for Machine Learning Company,Workbridge Associates,"$180,000 a year"
201,"Redwood City, CA",Data Science & Analytics Manager,Poshmark,No Salary Listed
202,"San Francisco, CA","Senior Product Manager, Logistics",Instacart,No Salary Listed
203,"San Francisco Bay Area, CA",Senior Platform Architect,No Company Listed,No Salary Listed
204,"San Francisco Bay Area, CA",Senior DevOps Engineer,LT,"$190,000 a year"
205,"San Francisco, CA",Principal Full Stack Rails Engineer - Consumer Team,Stitch Fix,No Salary Listed
206,"Richmond, CA 94804","Director/Senior Director, Regulatory Affairs",No Company Listed,No Salary Listed
207,"San Francisco, CA","Senior Product Manager, Global On-Site Search",No Company Listed,No Salary Listed
208,"San Francisco, CA 94108 (Financial District area)",Lead Security Technologist,MuleSoft,No Salary Listed
209,"Burlingame, CA","VP of Sales, Employer Benefits",No Company Listed,No Salary Listed
210,"San Francisco, CA",Lead Computer Vision Scientist,LT,"$200,000 a year"
211,"San Carlos, CA",Senior Software Engineer - Full Stack,Helix,No Salary Listed
212,"San Francisco Bay Area, CA",Senior Distributed Computing Engineer,No Company Listed,No Salary Listed
213,"San Francisco, CA 94105 (Financial District area)","Senior Full-Stack Engineer (Go, Node, Java, Python)",Workbridge Associates,"$180,000 a year"
214,"San Francisco, CA 94107 (South Of Market area)","Engineering Manager, Data Platform",Postmates,No Salary Listed
215,"New York, NY 10282 (Tribeca area)",Technology - GSAM Technology - Search and Machine Learning E...,Goldman Sachs,No Salary Listed
216,"New York, NY",Data & Applied Scientist,Microsoft,No Salary Listed
217,"New York, NY 10012 (Little Italy area)",Data Scientist,Bond Street,No Salary Listed
218,"New York, NY",Analytics - Ads Team,Foursquare,No Salary Listed
219,"New York, NY 10022 (Midtown area)",Senior Data Scientist - Banking Analytics,McKinsey & Company,No Salary Listed
220,"New York, NY",Data Scientist,No Company Listed,No Salary Listed
221,"New York, NY 10032 (Washington Heights area)",Quantitative and Derivative Strategies Data Scientist,Morgan Stanley,No Salary Listed
222,"New York, NY 10279 (Financial District area)",Data Scientist,FactSet Research Systems,No Salary Listed
223,"New York, NY 10119 (Chelsea area)",Data Scientist (Contract to Hire),No Company Listed,No Salary Listed
224,"New York, NY 10271 (Financial District area)",Data Scientist CO,CAPCO,No Salary Listed
225,"New York, NY 10271 (Financial District area)",Data Scientist MP,CAPCO,No Salary Listed
226,"New York, NY 10271 (Financial District area)",Data Scientist SC,CAPCO,No Salary Listed
227,"New York, NY",Senior Data Engineer - BI & Analytics,No Company Listed,No Salary Listed
228,"New York, NY",Quantitative Researcher / Data Scientist,No Company Listed,No Salary Listed
229,"New York, NY",Data Scientist - M Science LLC,No Company Listed,No Salary Listed
230,"New York, NY 10018 (Clinton area)",Data Scientist,No Company Listed,"$100,000 - $200,000 a year"
231,"New York, NY",Research Scientist,Yahoo! Inc.,No Salary Listed
232,"New York, NY 10011 (Chelsea area)",Data Scientist - Advertising Product and Platforms,Spotify,No Salary Listed
233,"New York, NY",Quantitative Analyst - Investment Analytics,AIG,No Salary Listed
234,"New York, NY 10020 (Midtown area)",Data Scientist - CCM,EXPERIAN,No Salary Listed
235,"New York, NY 10279 (Financial District area)",Data Scientist,FactSet,No Salary Listed
236,"New York, NY",Data Scientist,No Company Listed,No Salary Listed
237,"New York, NY",Data Scientist/Predictive Modeller,Oliver James Associates,"$150,000 - $180,000 a year"
238,"New York, NY 10105 (Midtown area)",Data Scientist,AllianceBernstein,No Salary Listed
239,"New York, NY",Data Engineer,NBCUniversal,No Salary Listed
240,"New York, NY","Lead Data Scientist, Digital Intelligence",JPMorgan Chase,No Salary Listed
241,"New York, NY",Model Validation Quantitative Analyst - Equity,No Company Listed,No Salary Listed
242,"New York, NY",Data Scientist- Digital,Capital One,No Salary Listed
243,"New York, NY 10011 (Chelsea area)",Data Scientist (Product),Spotify,No Salary Listed
244,"New York, NY",Senior Data Scientist,Capital Markets Placement,No Salary Listed
245,"New York, NY 10022 (Midtown area)",Data Science Translator - TMT Sector,McKinsey & Company,No Salary Listed
246,"New York, NY 10010 (Gramercy area)",Big Data/Machine Learning,Mitchell Martin,No Salary Listed
247,"New York, NY 10006 (Financial District area)",Modeler,No Company Listed,No Salary Listed
248,"New York, NY 10016 (Gramercy area)","Vice President, Data Science and Analytics",Return Path,No Salary Listed
249,"New York, NY",Quantitative Analyst,UBS,No Salary Listed
250,"New York, NY 10011 (Chelsea area)",Data Science Manager - Premium Analytics,Spotify,No Salary Listed
251,"New York, NY",Senior Data Scientist,Oliver James Associates,"$160,000 - $180,000 a year"
252,"New York, NY 10006 (Financial District area)",Modeler,No Company Listed,No Salary Listed
253,"Jersey City, NJ",Lead Data Scientist,Verisk Insurance Solutions,No Salary Listed
254,"New York, NY","Research Engineer, Principal",Yahoo! Inc.,No Salary Listed
255,"New York, NY 10282 (Tribeca area)","Securities, FICC, IRP Quantitative Strats, Analyst/Associate",Goldman Sachs,No Salary Listed
256,"New York, NY",Legal- Firmwide Initiatives Team OLO Data Scientist- VP,JPMorgan Chase,No Salary Listed
