,location,title,company,salary
257,"New York, NY",Senior Data Scientist,No Company Listed,"$140,000 - $150,000 a year"
258,"New York, NY","Research Engineer, Video",Yahoo! Inc.,No Salary Listed
259,"New York, NY",Quantitative Analyst - Regulatory Models,No Company Listed,No Salary Listed
260,"New York, NY",Associate Director of Data Science,AIG,No Salary Listed
261,"New York, NY 10022 (Midtown area)","VP, Health Data Management - Healthcare Analytics",McKinsey & Company,No Salary Listed
262,"New York, NY",Chief Data and Analytics Officer,AXA,No Salary Listed
263,"New York, NY 10011 (Chelsea area)",Senior Data Scientist- Legal,Spotify,No Salary Listed
264,"New York, NY",Python Backend working with Deep Learning,Jobspring Partners,"$140,000 - $160,000 a year"
265,"New York, NY",Head of Business Intelligence,No Company Listed,No Salary Listed
266,"New York, NY",Director-Sr Research Analyst,Moody's Analytics,No Salary Listed
267,"New York, NY",Senior Data Scientist,No Company Listed,"$140,000 - $150,000 a year"
268,"New York, NY","Director, Analytics and Insights",,No Salary Listed
269,"New York, NY","VP, Data Scientist - Banking",No Company Listed,"$180,000 a year"
270,"New York, NY",Data Engineer,No Company Listed,"$150,000 a year"
271,"New York, NY 10013 (Tribeca area)",Senior Machine Learning Engineer,Blue Apron,No Salary Listed
272,"New York, NY 10004 (Financial District area)",Director of Product Management,Attune,No Salary Listed
273,"New York, NY",Data scientist / KDB Developer,JPMorgan Chase,No Salary Listed
274,"New York, NY","VP Data Scientist, Data Science Manager, Data Scientist",Oliver James Associates,"$110,000 - $250,000 a year"
275,"New York, NY","Intern, Yahoo Research",Yahoo! Inc.,No Salary Listed
276,"New York, NY 10004 (Financial District area)",Data Scientist,No Company Listed,No Salary Listed
277,"New York, NY",Chief Data Scientist - Consulting,No Company Listed,"$220,000 a year"
278,"New York, NY",Quantitative Model Risk Analyst,U.S. Bank,No Salary Listed
279,"New York, NY",Quantitative Analyst - Model Validation,No Company Listed,No Salary Listed
280,"New York, NY 10105 (Midtown area)",Director of Data Science,AllianceBernstein,No Salary Listed
281,"New York, NY",Data Science Intern,MediaMath,No Salary Listed
282,"New York, NY 10020 (Midtown area)",Quantitative Analyst,Huxley Associates,"$170,000 a year"
283,"New York, NY 10011 (Chelsea area)",VP of Engineering - Data,Spotify,No Salary Listed
284,"New York, NY",Data Scientist II,MediaMath,No Salary Listed
285,"New York, NY","Connect - Vice President, Behavioral Data Group",Ipsos North America,No Salary Listed
286,"New York, NY",No Job Title Listed,BNP Paribas,No Salary Listed
287,"New York, NY 10020 (Midtown area)",Quantitative Analyst,Huxley Associates,"$170,000 a year"
288,"New York, NY",Data Scientist II,MediaMath,No Salary Listed
289,"New York, NY 10032 (Washington Heights area)",Quantitative Analyst,Morgan Stanley,No Salary Listed
290,"New York, NY 10285 (Battery Park area)",Data Scientists & Predictive Modeling Consultants,No Company Listed,No Salary Listed
291,"New York, NY",Data Analysis Engineer,No Company Listed,No Salary Listed
292,"Jersey City, NJ","Dir, Clinical Development",Allergan,No Salary Listed
293,"New York, NY 10004 (Financial District area)",Sr. Data Scientist,No Company Listed,No Salary Listed
294,"New York, NY",Senior Data Scientist - Bio-tech,No Company Listed,"$170,000 a year"
295,"New York, NY","Vice President/Group Director, Data & Analysis",DigitasLBi,No Salary Listed
296,"New York, NY",Senior Data Scientist,No Company Listed,"$180,000 a year"
297,"New York, NY 10020 (Midtown area)",Front Desk Quantitative Analyst,Huxley Associates,"$150,000 a year"
298,"New York, NY","Vice President, Insurance Analytics/Predictive Modeling PR99...",No Company Listed,No Salary Listed
299,"New York, NY",Head of Machine Learning,Execu | Search,"$125,000 - $200,000 a year"
300,"New York, NY",Senior Machine Learning Engineer (VP) - Intelligent Solution...,JPMorgan Chase,No Salary Listed
301,"Kenilworth, NJ","Senior Scientist, Quantitative Pharmacology and Pharmacometr...",Merck,No Salary Listed
302,"New York, NY","Senior Manager, Data Engineering",NBCUniversal,No Salary Listed
303,"New York, NY 10011 (Chelsea area)",Head of Research,Spotify,No Salary Listed
304,"New York, NY",Director of Sales Operations & Strategy - Operational Enable...,BuzzFeed,No Salary Listed
305,"New York, NY",Big Data Product Strategy & Development Manager - Intelligen...,JPMorgan Chase,No Salary Listed
306,"New York, NY","Vice President/Group Director, Data & Analysis",DigitasLBi,No Salary Listed
307,"New York, NY","Product Analytics Director, Corporate Strategy.",Reed Elsevier,No Salary Listed
308,"New York, NY",Senior Software Engineer-Search Services,Grubhub,No Salary Listed
309,"New York, NY",Senior Software Engineer,PlaceIQ,No Salary Listed
310,"Middletown, NJ 07748",Principal-Inventive Scientist- Reliability Research and Deve...,AT&T,No Salary Listed
311,"New York, NY",Investment Management Quantitative Model Review Analyst,No Company Listed,No Salary Listed
312,"New York, NY",Senior Leader Group Head Translational Medicine,Roche,No Salary Listed
313,"New York, NY 10011 (Chelsea area)",Lead Ad Tech Machine Learning Engineer,Spotify,No Salary Listed
314,"New York, NY",Product Mgmt/Strategy Snr Director-ProdDev,Oracle,No Salary Listed
315,"New York, NY",Digital Product Manager,Capital One,No Salary Listed
316,"New York, NY",Senior Software Engineer-Recommendations,Grubhub,No Salary Listed
317,"New York, NY 10011 (Chelsea area)",Data Science Manager - Advertising Product and Platforms,Spotify,No Salary Listed
318,"New York, NY",Lead Software Engineer,PlaceIQ,No Salary Listed
319,"New York, NY 10011 (Chelsea area)",Digital Analytics Strategy Manager (Financial Services),Accenture,No Salary Listed
320,"New York, NY",Big Data Architect,No Company Listed,No Salary Listed
321,"New York, NY 10011 (Chelsea area)",Machine Learning Engineering Manager,Spotify,No Salary Listed
322,"New York, NY",Investment Management Quantitative Model Review Analyst,No Company Listed,No Salary Listed
323,"New York, NY",Translational Medicine Leader (TML) (m/f),Roche,No Salary Listed
324,"New York, NY 10011 (Chelsea area)",Machine Learning Engineering Manager,Spotify,No Salary Listed
325,"New York, NY 10011 (Chelsea area)",Accenture Analytics- Analytics Products Sales Lead Senior Ma...,Accenture,No Salary Listed
326,"Summit, NJ 07901","Delivery Manager - Periscope, McKinsey Solutions",McKinsey & Company,No Salary Listed
327,"Jersey City, NJ",AVP Insurance Analytics,No Company Listed,No Salary Listed
328,"New York, NY",Product Mgmt/Strategy Snr Director-ProdDev,Oracle,No Salary Listed
329,"Jersey City, NJ",Global Technology Infrastructure - Strategy & Transformation...,JPMorgan Chase,No Salary Listed
330,"New York, NY","VP, International Brand Strategy (New York)",BuzzFeed,No Salary Listed
331,"New York, NY","Manager, Commercial Strategy & Innovation",Capital One,No Salary Listed
332,"Kenilworth, NJ","Principal Scientist, Quantitative Pharmacology and Pharmacom...",Merck,No Salary Listed
333,"New York, NY 10011 (Chelsea area)",Health Analytics Strategy & Transformation Manager/Senior Ma...,Accenture,No Salary Listed
334,"New York, NY 10119 (Chelsea area)",Director of Marketing Analytics / Data Science,No Company Listed,No Salary Listed
335,"New York, NY",Senior Big Data Engineer,No Company Listed,"$140,000 a year"
336,"New York, NY",Senior Data Engineer,No Company Listed,"$175,000 a year"
337,"New York, NY",Head of Client Analytics,IgnitionOne,No Salary Listed
338,"New York, NY",Head of Machine Learning Big Data,No Company Listed,No Salary Listed
339,"New York, NY 10001 (Chelsea area)",Senior Software Engineer / Tech Lead,Empiric Solutions,"$150,000 - $180,000 a year"
340,"New York, NY",Senior Product Marketing Manager (Financial Services),No Company Listed,No Salary Listed
341,"New York, NY",Infrastructure Security Architect,Bloomberg,No Salary Listed
342,"New York, NY 10150 (Midtown area)",Skilled Java Specialists - NYC,No Company Listed,$120 an hour
343,"New York, NY 10011 (Chelsea area)",Analytics Strategy & Transformation Manager (Life Sciences),Accenture,No Salary Listed
344,"New York, NY",Software Security Architect,Bloomberg,No Salary Listed
345,"East Hanover, NJ",Associate Director Statistical Scientist,No Company Listed,No Salary Listed
346,"New York, NY 10282 (Tribeca area)",No Job Title Listed,Goldman Sachs,No Salary Listed
347,"Summit, NJ","Vice President, Global Medical Affairs, Pancreatic Cancer Di...",Celgene,No Salary Listed
348,"New York, NY 10001 (Chelsea area)",Security Innovation Lead,No Company Listed,No Salary Listed
349,"New York, NY 10011 (Chelsea area)",Digital Analytics Strategy Senior Manager (Insurance),Accenture,No Salary Listed
350,"New York, NY",Asset Management & CIB Analytics Innovation - Development &...,JPMorgan Chase,No Salary Listed
351,"New York, NY 10017 (Midtown area)",Lead Software Developer Engineer in Test,Talener,"$150,000 a year"
352,"New York, NY",Software Security Architect,Bloomberg,No Salary Listed
353,"New York, NY",No Job Title Listed,JPMorgan Chase,No Salary Listed
354,"New York, NY",Director - Digital Product Management,Capital One,No Salary Listed
355,"Jersey City, NJ",Director Business Development and Product Management - Insur...,No Company Listed,No Salary Listed
356,"Summit, NJ 07901","Vice President, Head of US Medical Affairs, Hematology and O...",Celgene Corporation,No Salary Listed
357,"Summit, NJ 07901","Vice President, Global Medical Affairs, Pancreatic Cancer Di...",Celgene Corporation,No Salary Listed
358,"New York, NY",Principal Machine Learning Engineer (Executive Director) - I...,JPMorgan Chase,No Salary Listed
359,"New York, NY",Principal Machine Learning Engineer (Executive Director) - I...,JPMorgan Chase,No Salary Listed
360,"New York, NY",Sr. Data Scientist,No Company Listed,No Salary Listed
361,"New York, NY",Director Data Science,No Company Listed,No Salary Listed
362,"New York, NY",Senior Data Scientist ( FinTech / Python / R / ML / Big Data...,No Company Listed,"$120,000 - $200,000 a year"
363,"New York, NY 10022 (Midtown area)",Data Scientist,Design Strategy,No Salary Listed
364,"New York, NY",Data Scientist (People Analytics/HR),No Company Listed,"$180,000 - $250,000 a year"
365,"New York, NY",Principal Data Scientist,No Company Listed,"$150,000 - $185,000 a year"
366,"New York, NY",VP Data Science,No Company Listed,"$130,000 - $165,000 a year"
367,"New York, NY","Data Team Leader (VP, Director)",VROOM,"$140,000 - $180,000 a year"
368,"New York, NY",Sr. Data Scientist - User & Product Analytics,Tumblr,No Salary Listed
369,"New York, NY",Data Scientist,Wink,No Salary Listed
370,"New York, NY",Senior Data Scientist for Fortune 500 Company,No Company Listed,"$150,000 - $185,000 a year"
371,"New York, NY 10001 (Chelsea area)",Associate Director Translational Science/Biomarker Developme...,Skills Alliance,"$160,000 - $190,000 a year"
372,"New York, NY","Director of Data Science, Analytics",No Company Listed,"$175,000 - $250,000 a year"
373,"New York, NY",Senior Data Scientist,No Company Listed,No Salary Listed
374,"New York, NY",Senior Systematic Quantitative Analyst - Multi-billion Dolla...,No Company Listed,"$180,000 - $220,000 a year"
375,"New York, NY 10005 (Financial District area)",Senior Software Engineer (Machine Learning),WeWork,No Salary Listed
376,"New York, NY 10004 (Financial District area)",Data Scientist,Apex Systems Inc,No Salary Listed
377,"New York, NY 10005 (Financial District area)",Senior Software Engineer (Machine Learning),WeWork,No Salary Listed
378,"New York, NY",Quantitative Analyst at Leading Analytic Driven Hedge Fund (...,No Company Listed,$50 - $100 an hour
379,"New York, NY",Data Scientist - Natural Language Processing,No Company Listed,No Salary Listed
380,"New York, NY",1015 Big Data Architect,"ReqRoute,Inc",No Salary Listed
381,"New York, NY",Big Data Engineer / Hadoop Developer ( FinTech / Hive / Hbas...,No Company Listed,"$120,000 - $170,000 a year"
382,"New York, NY 10005 (Financial District area)",Quantitative Analyst - Regulatory Model Design,Societe Generale Corporate and Investment Banking,No Salary Listed
383,"New York, NY",Data Scientist ( FinTech / Python / R / Machine Learning / B...,No Company Listed,"$200,000 a year"
384,"New York, NY",C++/Python Engineer,No Company Listed,No Salary Listed
385,"New York, NY","Senior Quantitative Analyst, global investments strategies",No Company Listed,No Salary Listed
386,"New York, NY 10005 (Financial District area)","Senior Director/Director, Revenue Management Operations Re",WeWork,No Salary Listed
387,"New York, NY",Natural Language Processing (NLP) Data Scientist,No Company Listed,"$130,000 - $185,000 a year"
388,"New York, NY","Vice President, Product Management - Channel Experiences",OnDeck,No Salary Listed
389,"New York, NY 10010 (Gramercy area)",Innovative Ad-Tech Company Seeks a Senior Fullstack Javascri...,Jobspring Partners,"$145,000 a year"
390,"New York, NY","Director, Data Insight Sales",1010data,No Salary Listed
391,"New York, NY",VP of Product Management,No Company Listed,No Salary Listed
392,"New York, NY 10011 (Chelsea area)",Digital Strategy Senior Manager (Insurance),Accenture,No Salary Listed
393,"New York, NY 10018 (Clinton area)",Senior Quantitative Finance Analyst,The Compliance Search Group,No Salary Listed
394,"New York, NY 10017 (Midtown area)",Data Scientist-Pattern Recognition-Algo Models-Python/R-Fixe...,Analytic Recruiting,No Salary Listed
395,"Paramus, NJ",Analytics Manager,Smith Hanley Associates,"$130,000 - $150,000 a year"
396,"New York, NY","Director, Product Management",OnDeck,No Salary Listed
397,"New York, NY 10017 (Midtown area)","Data Scientists -- Machine Learning, Algorithm Development,...",Analytic Recruiting,No Salary Listed
398,"Paramus, NJ","Clinical Research Scientist (PhD or PharmD), Oncology",No Company Listed,No Salary Listed
399,"New York, NY",Senior Quantitative Risk Analyst,OnDeck Capital,No Salary Listed
400,"Irving, TX",Big Data Machine Learning Scientist,Humana,No Salary Listed
401,"Dallas, TX",Analytics Strategy & Transformation Sr. Manager - Energy (SW...,Accenture,No Salary Listed
402,"Dallas, TX",Accenture Analytics-Go to Market Products Manager,Accenture,No Salary Listed
403,"Plano, TX",Sr. Product Manager (Garage),Capital One,No Salary Listed
404,"Dallas, TX",VP Data Science & Machine Learning,No Company Listed,No Salary Listed
405,"Dallas, TX",Legal Counsel,Nokia,No Salary Listed
406,"Dallas, TX",Principal Engineer - Big Data / Machine Learning,Albin Engineering,No Salary Listed
407,"Dallas, TX","Senior Manager, Analytics - Communications, Media, & Technol...",Accenture,No Salary Listed
408,"Philadelphia, PA 19103 (Belmont area)","Principal, Data Scientist",Comcast,No Salary Listed
409,"Philadelphia, PA","Machine Learning Software Engineer, Analytics Center of Exce...",No Company Listed,No Salary Listed
410,"Plymouth Meeting, PA",Machine Learning Researcher,No Company Listed,No Salary Listed
411,"Philadelphia, PA 19103 (Belmont area)","Principal, Data Scientist - Digital",Comcast,No Salary Listed
412,"Philadelphia, PA 19103 (Belmont area)","Data Scientist - Analytical Experiments, Analytical Tools",No Company Listed,"$130,000 - $150,000 a year"
413,"Plymouth Meeting, PA","Dir, Machine Learning",No Company Listed,No Salary Listed
414,"Wilmington, DE",Data Scientist - Proactive and Reactive Customer Retention A...,Citi,No Salary Listed
415,"Philadelphia, PA",Data Science Manager Healthcare,No Company Listed,"$170,000 a year"
416,"Malvern, PA","Senior Analyst, Investment Risk Management, Quantitative Equ...",Vanguard,No Salary Listed
417,"Wilmington, DE","Director, Big Data Governance",Capital One,No Salary Listed
418,"Plymouth Meeting, PA 19462",Technical Data Analyst Finance Analytics,No Company Listed,No Salary Listed
419,"Philadelphia, PA",Senior Hadoop Engineer/Architect,Reed Elsevier,No Salary Listed
420,"Philadelphia, PA",VP Cyber Security Engineering & Incident Response,Reed Elsevier,No Salary Listed
421,"Malvern, PA 19355","Vice President, Medical Affairs",No Company Listed,No Salary Listed
422,"Gwynedd, PA",No Job Title Listed,Merck,No Salary Listed
423,"Philadelphia, PA 19103 (Belmont area)",VP Cyber Security Engineering & Incident Response,Elsevier,No Salary Listed
424,"Wilmington, DE",CCB - Risk-Fraud Modeling Data Scientist Manager - Executive...,JPMorgan Chase,No Salary Listed
425,"King of Prussia, PA",Global TA Head Coagulation and Acquired Bleeding,CSL Behring,No Salary Listed
426,"Philadelphia, PA",Data Scientist,No Company Listed,$120 an hour
427,"Philadelphia, PA 19102 (City Center West area)",Data Scientist,Jobspring Partners,"$160,000 a year"
428,"Philadelphia, PA",Principal Data Scientist,No Company Listed,"$155,000 - $160,000 a year"
429,"Ambler, PA 19002",Data Scientist for Marketing Technology,Workbridge Associates,"$175,000 a year"
430,"Philadelphia, PA",Quantitative Analyst (Big Data Focus) at $10+ Billion Hedge...,No Company Listed,"$200,000 - $300,000 a year"
431,"Philadelphia, PA",Director of Data Science,No Company Listed,"$175,000 - $215,000 a year"
432,"Philadelphia, PA",Lead Python Developer,No Company Listed,No Salary Listed
433,"Denver, CO 80202 (Lodo area)",Data Scientist,Ibotta,No Salary Listed
434,"Los Angeles, CA",Creative Research Analyst,Solugenix Corporation,$72.41 an hour
435,"Santa Monica, CA",Director of Data Engineering,No Company Listed,No Salary Listed
436,"Los Angeles, CA",Sr. Data Scientist & Analytic Engineer,Connexity,No Salary Listed
437,"Burbank, CA",Big Data Architect,Warner Bros. Entertainment Group,No Salary Listed
438,"El Segundo, CA 90245",Chief Information Officer,The Aerospace Corporation,No Salary Listed
439,"Los Angeles, CA 90001",Artificial Intelligence Data Scientist,Beyond Limits,No Salary Listed
440,"Los Angeles, CA",Principal Data Scientist,No Company Listed,"$160,000 a year"
441,"Los Angeles, CA",Principal Engineer,ZestFinance,No Salary Listed
442,"Santa Monica, CA 90404",Director of Data Services,Red Bull,No Salary Listed
443,"El Segundo, CA 90245","Director, Diversity and Inclusion",The Aerospace Corporation,No Salary Listed
444,"Santa Monica, CA 90405","Director, Data Science and Analytics",Inspire,No Salary Listed
445,"Los Angeles, CA","Director, Marketing Planning & Analysis - Global Growth and...",Netflix,No Salary Listed
446,"Los Angeles, CA",Head of Machine Learning Big Data,No Company Listed,No Salary Listed
447,"Santa Monica, CA",Data Platform Engineer,No Company Listed,No Salary Listed
448,"Los Angeles, CA 90016",Data Scientist,No Company Listed,No Salary Listed
449,"West Hollywood, CA",Machine Learning Scientist,No Company Listed,No Salary Listed
450,"Los Angeles, CA",Senior Data Scientist,No Company Listed,"$140,000 - $180,000 a year"
451,"Los Angeles, CA",Lead Data Scientist,No Company Listed,"$160,000 a year"
452,"Los Angeles, CA 90016",Quantitative Developer,No Company Listed,No Salary Listed
453,"Los Angeles, CA 90016",Big Data Engineer,No Company Listed,No Salary Listed
454,"West Hollywood, CA",Computer Vision Scientist,No Company Listed,No Salary Listed
455,"Los Angeles, CA",Senior Backend Data Engineer,LT,"$190,000 a year"
456,"Los Angeles, CA 90067",Senior Manager - Data Scientist Lead,Unisys,No Salary Listed
457,"Los Angeles, CA",Java Engineer,LT,"$190,000 a year"
458,"Los Angeles, CA","Sr. Data Scientist Needed for Top LA Start-Up, Huge Opportun...",No Company Listed,"$160,000 a year"
459,"Los Angeles, CA",Property and Casualty Predictive Modeler #74851,No Company Listed,"$160,000 a year"
460,"Los Angeles, CA",Senior DevOps Engineer,LT,"$190,000 a year"
461,"Los Angeles, CA",Lead iOS Developer,LT,"$200,000 a year"
462,"Pittsburgh, PA","Director, Machine Learning",No Company Listed,No Salary Listed
463,"Pittsburgh, PA 15236",Data Scientist/Ontologist,ApTask,"$180,000 a year"
464,"Fort Lauderdale, FL",Data Scientist,No Company Listed,"$150,000 a year"
465,"Atlanta, GA","Sr. Manager, Data Science",Capgemini,No Salary Listed
466,"Atlanta, GA",Senior Quantitative Risk Management Analyst,Federal Home Loan Bank of Atlanta,No Salary Listed
467,"Atlanta, GA",Data Scientist - Healthcare,No Company Listed,"$170,000 a year"
468,"Atlanta, GA",Senior Solution Architect - Data Science SME,Capgemini,No Salary Listed
469,"Atlanta, GA","Manager, Data Science",Capgemini,No Salary Listed
470,"Atlanta, GA",Head of Analytic Operations,IgnitionOne,No Salary Listed
471,"Atlanta, GA",Analytics Implementation Lead,Honeywell,No Salary Listed
472,"Atlanta, GA",Managing Solution Architect - Digital Marketing and Consumer...,Capgemini,No Salary Listed
473,"Atlanta, GA 30322","Director, Laboratory Services",Children's Healthcare of Atlanta,No Salary Listed
474,"Redmond, WA 98052",Data Scientist,Microsoft,No Salary Listed
475,"Bellevue, WA",Data Scientist Lead,BOEING,No Salary Listed
476,"Seattle, WA",Principal Data Scientist (Insights & Analytics),No Company Listed,No Salary Listed
477,"Redmond, WA 98052",Principal Data Scientist,Microsoft,No Salary Listed
478,"Seattle, WA",Director of Data Science,Wunderman,No Salary Listed
479,"Kirkland, WA",Senior Software Development Manager - Data Science,GoDaddy,No Salary Listed
480,"Redmond, WA 98052",Principal Program Manager,Microsoft,No Salary Listed
481,"Seattle, WA 98101 (Downtown area)","Sr. Principal Data Scientist, Machine Learning",Zillow,No Salary Listed
482,"Seattle, WA","Sr. Principal Data Scientist, Machine Learning",No Company Listed,No Salary Listed
483,"Seattle, WA 98101 (Downtown area)",Senior Data Scientist,Zillow,No Salary Listed
484,"Seattle, WA 98101 (Downtown area)",Senior Machine Learning Engineer,Zillow,No Salary Listed
485,"Seattle, WA",Sr Mgr Technical Product Mgmt,HERE,No Salary Listed
486,"Seattle, WA","Accenture Insights Platform Product Manager, Western US Regi...",Accenture,No Salary Listed
487,"Seattle, WA 98101 (Downtown area)",Senior Data Engineer,Zillow,No Salary Listed
488,"Seattle, WA",Technical Product Mrkting Mgr,HERE,No Salary Listed
489,"Seattle, WA 98101 (Downtown area)",Principal Machine Learning Engineer,Zillow,No Salary Listed
490,"Seattle, WA",Accenture Analytics - Data Science Manager,Accenture,No Salary Listed
491,"Seattle, WA",Sr Mgr Product Development,HERE,No Salary Listed
492,"Seattle, WA 98101 (Downtown area)",Sr Staff Software Engineer,General Electric,No Salary Listed
493,"Renton, WA",Information Architect Job,Hasbro,No Salary Listed
494,"Renton, WA 98057",Information Architect,Wizards Of The Coast,No Salary Listed
495,"Seattle, WA","Digital Product Manager, Capital One Investing",Capital One,No Salary Listed
496,"Seattle, WA","Software Development Manager, AWS Machine Learning",Amazon Corporate LLC,No Salary Listed
497,"Seattle, WA","Senior Digital Product Manager, Capital One Investing",Capital One,No Salary Listed
498,"Seattle, WA",Sr. Global Device Manager,No Company Listed,"$150,000 - $175,000 a year"
499,"Bellevue, WA 98004 (Downtown area)",Information/Data Architect,No Company Listed,No Salary Listed
500,"Seattle, WA",Chief Data Scientists,No Company Listed,No Salary Listed
501,"Seattle, WA",Principal Data Scientist (Insights & Analytics),No Company Listed,No Salary Listed
502,"Seattle, WA",Software Engineer - Machine Learning,No Company Listed,"$145,000 - $197,000 a year"
503,"Seattle, WA",Senior Data Scientist,Smith Hanley Associates,"$155,000 - $165,000 a year"
504,"Seattle, WA",Senior Data Scientist,No Company Listed,No Salary Listed
505,"Seattle, WA","Sr. Applied Scientist, AWS Greenfield Project",Amazon Corporate LLC,No Salary Listed
506,"Redmond, WA",Senior Data Scientist,No Company Listed,No Salary Listed
507,"Seattle, WA 98104 (First Hill area)",Data Science Manager,Indeed,No Salary Listed
508,"Austin, TX",Data Scientist - Consultant,Clarity Solution Group,No Salary Listed
509,"Austin, TX 78701 (Downtown area)",Chief Data Architect,No Company Listed,No Salary Listed
510,"Austin, TX",Expert Big Data Architect,Acxiom,No Salary Listed
511,"Austin, TX",Big Data/Analytics Architect,Acxiom,No Salary Listed
512,"Austin, TX","Vice President, Advanced Analytics",CLEAResult,No Salary Listed
513,"Austin, TX 78759 (Arboretum area)",Chief Architect,The Advisory Board Company,No Salary Listed
514,"Austin, TX",No Job Title Listed,National Instruments,No Salary Listed
